"MUDr. Zdena Sýkorová, soukromá zubní praxe",http://www.tylovka.cz/,"4	Custom HTML/CSS (vlastní master.min.css, bez CMS/frameworku)	#7CB342, #33691E, #E53935	Zastaralý grafický design s přechodovými barvami připomínající web z roku 2010, bez důrazu na moderní responzivní rozvržení.",,,,,,,,,,,,,,,,,,,,,
Dentální hygiena,http://www.hygiena-dentalni.cz/kontakty-dentalni-hygiena-louny/,"2	WordPress 4.0.38 (extremne zastarale, rok 2014)","#29ABE2, #333333, #FFFFFF","Web bezi na desetilete stare verzi WordPressu z roku 2014, mapa se nenacita a stranky pusobi poloprazdne.",,,,,,,,,,,,,,,,,,,
MUDr. Lukáš Milič,http://www.milic.cz/,"1	WordPress (aktuálně nefunkční - kritická chyba)	#F1F1F1, #FFFFFF, #0073AA	Web je zcela nefunkční, zobrazuje pouze kritickou chybu WordPressu místo obsahu.",,,,,,,,,,,,,,,,,,,,,
zubni-ordinace,http://www.zubni-ordinace.eu/index-5.html,1	Nedostupné - server neodpovídá	N/A,"Web je zcela nedostupny, adresa vraci chybovou stranku bez obsahu.",,,,,,,,,,,,,,,,,,,,
Zubní hygiena Děčín,http://www.zubnihygienadecin.cz/kontakt,"1	Nedostupné - doména neodpovídá / server nefunkční	N/A	Web je zcela nedostupný (doména neodpovídá), pacienti se k ordinaci online vůbec nedostanou.",,,,,,,,,,,,,,,,,,,,,
Dentální hygiena Poděbrady,http://www.hygienistkapdy.cz/kontakt.html,1	Nedostupne - domena neodpovida,N/A,"Web je zcela nedostupny, adresa nenacita zadny obsah.",,,,,,,,,,,,,,,,,,,
MUDr. René Štajner,http://stomatologiestajner.webmium.com/,10,Doména nefunguje - Webmium builder vrací chybu 404,"#EDEDED, #FFFFFF, #333333",Web vrací chybu 404 - stránka fakticky neexistuje a nenabízí žádné informace.,,,,,,,,,,,,,,,,,,
Bistrodent spol. s r.o.,http://www.bistrodent.cz/,10,Holé HTML bez CSS stylů,"#FFFFFF, #000000, #F2A65A",Stránka nemá žádný vizuální design a obsahuje zastaralé upozornění z dubna 2025.,ordinace@bistrodent.cz,,,,,,,,,,,,,,,,,
MUDr. Ladislava Vranová,https://www.znamylekar.cz/ladislava-vranova/zubar/olomouc,10,"HTML5, CSS (Docplanner UI Kit, Bootstrap-like framework), JavaScript (Vue.js, jQuery, custom ZLApp), Google Tag Manager, Google Analytics, VWO (A/B testing), OneTrust (cookie consent), AWS S3, Schema.org (JSON-LD), Twitter Cards, HubSpot, reCAPTCHA, Friendly Captcha, Sentry JS, Datadog RUM JS.","#00B289, #004D73, #627282","The profile lacks an active online booking calendar and detailed service/price information, forcing patients to seek contact information directly rather than booking online.",,,,,,,,,,,,,,,,,,
"Dr.Dent MUDr. Petr Drbal, MUDr. Jana Drbalová, MDDr. Jana Koziolová, Martin Vladař",http://drdentzlin.cz/?utm_source=firmy.cz&utm_medium=ppd&utm_campaign=firmy.cz-13282780,10,WordPress - výchozí neupravená instalace,"#C0247E, #3D3D3D, #FFFFFF",Web je stále jen výchozí nenastavená instalace WordPressu s ukázkovým příspěvkem 'Hello world!'.,,,,,,,,,,,,,,,,,,
MDDr. Dominika Benešová,http://dominident.cz/,10,Holé HTML bez designu (jen textové oznámení),"#FFFFFF, #1E88E5, #808080","Ordinace k 31.8.2026 definitivně končí provoz, což z ní dělá nerelevantní lead pro redesign webu.",,,,,,,,,,,,,,,,,,
Klimešová Iva MUDr.,http://www.olomouc-zubni.cz/,9,"Katalog-stomatologu.cz (generický adresářový profil, žádný vlastní web)","#1B7A76, #FFFFFF, #C9B100",Odkazovaná doména nefunguje jako vlastní web – návštěvník skončí jen na obecném katalogovém profilu bez identity praxe.,,,,,,,,,,,,,,,,,,
MUDr. Michael Chmiel,http://mudr-michael-chmiel.katalog-stomatologu.cz/,9,"Katalog-stomatologu.cz (generický adresářový profil, žádný vlastní web)","#1B7A76, #FFFFFF, #C9B100","Stejně jako konkurence firma nemá vlastní web, jen obecný katalogový profil; navíc aktuálně nepřijímá nové pacienty.",,,,,,,,,,,,,,,,,,
MUDr. Karla Odstrčilová - Zubní ambulance,http://mudr-karla-odstrcilova.katalog-stomatologu.cz/,9,"Katalog-stomatologu.cz (generický adresářový profil, žádný vlastní web)","#1B7A76, #FFFFFF, #C9B100",Web je opět jen generický katalogový profil bez vlastní identity praxe.,,,,,,,,,,,,,,,,,,
"MUDr. Světlana Ulman, MUDr. Štěpánka Šíblová - Zubní ordinace",http://mudr-svetlana-ulman.katalog-stomatologu.cz/,9,"Katalog-stomatologu.cz (generický adresářový profil, žádný vlastní web)","#1B7A76, #FFFFFF, #C9B100","Opět jen generický katalogový profil; navíc text uvádí, že nové pacienty (ani na hygienu) nepřijímají.",,,,,,,,,,,,,,,,,,
"CIBU-MED s.r.o., - MUDr. František Cibulka - Praktický lékař pro dospělé s atestací vyššího stupně",http://praktik-cibulka.cz/,9,Zdravotniregistr.cz (genericky adresarovy profil),"#0F6B5C, #C0392B, #FFFFFF","Domena praktik-cibulka.cz nefunguje jako vlastni web, presmeruje jen na obecny katalogovy profil.",cibulka.frant@seznam.cz,,,,,,,,,,,,,,,,,
Zubní Lékař Reli Alexandra MUDr.,http://www.stomatolog.cz/reli/,9,Staticky XHTML web z roku 2021 (tabulkovy layout),"#A9D6E5, #FFFFFF, #E8A33D","Ordinace sama uvadi, ze z kapacitnich duvodu neprijima nove pacienty, web tak nevede k zadne konverzi.",magas@atlas.cz,,,,,,,,,,,,,,,,,
MUDr. Pavel Dedek - MDDr. Markéta Bartošová,http://mudr-pavel-dedek.katalog-stomatologu.cz/,9,Katalog-stomatologu.cz (genericky adresarovy profil),"#1B7A76, #FFFFFF, #C9B100",Vlastni domena nasmerovava jen na obecny katalogovy profil bez identity praxe.,,,,,,,,,,,,,,,,,,
MUDr. Simona Celuchová,http://mudr-simona-celuchova.katalog-stomatologu.cz/,9,Katalog-stomatologu.cz (genericky adresarovy profil),"#1B7A76, #FFFFFF, #C9B100","Chybi i ordinacni hodiny, katalogovy profil obsahuje jen minimum informaci.",,,,,,,,,,,,,,,,,,
MUDr. Eva Mrázková - Prodent Plus spol. s r.o.,http://mudr-eva-mrazkova.katalog-stomatologu.cz/,9,Katalog-stomatologu.cz (genericky adresarovy profil),"#1B7A76, #FFFFFF, #C9B100","Web sam uvadi, ze ordinace neprijima nove pacienty, navic jde jen o katalogovy profil bez vlastni domeny.",,,,,,,,,,,,,,,,,,
ProEste - Dentální centrum,https://www.proeste.cz/,9,"HTML, CSS, JavaScript","#3498db, #2ecc71, #333333","Informace o MDDr. Jakubu Osadníkovi, který je označen jako zubní lékař s promocí v roce 2026, může být pro pacienty zavádějící nebo nejasná ohledně jeho současné kvalifikace.",info@proeste.cz,,,,,,,,,,,,,,,,,
"MUDr. Jarmila Blažková, zubní ordinace",https://jtbdental.cz/,9,"HTML5, CSS3, JavaScript (implied interactivity for elements like FAQ accordion), Responsive Design principles","#1F618D, #333333, #2ECC71",Přítomnost dvou různých e-mailových adres v kontaktní sekci může vést ke zmatkům a nekonzistentním komunikačním kanálům pro pacienty.,info@jtbdental.cz,,,,,,,,,,,,,,,,,
Galaxy Dent,https://galaxydent.cz/,8,Bootstrap (pravděpodobně v5) s vlastním HTML/CSS/JS,"#1a237e, #80deea, #ffffff","Hlavní slabinou je absence veřejně dostupného ceníku služeb, což může odradit potenciální nové pacienty hledající transparentnost v nákladech.",galaxydent.sro@gmail.com,,,,,,,,,,,,,,,,,
Stomatologická ordinace Holice,http://www.stomaholice.cz/,8,"WordPress 7.0.2, Divi theme 4.27.5","#1B6FC9, #1A2B3C, #FFFFFF","Meta viewport blokuje přiblížení (user-scalable=0), což snižuje přístupnost - jinak moderní, aktuální a kvalitně zpracovaný web s malým prostorem pro redesign",recepce@stomaholice.cz,,,,,,,,,,,,,,,,,
Zubní ordinace Švec s.r.o.,https://www.zubnisvec.cz/,8,Wix,,Hlavní slabinou je nedostatečná prominentnost kritické informace o nepřijímání nových pacientů a absence jakéhokoliv vizuálního obsahu pro oživení webu.,ordinace@zubnisvec.cz,,,,,,,,,,,,,,,,,
JSmile stomatologie s.r.o.,http://jsmile.cz/,8,"Vlastní moderní JS aplikace (runtime.js/vendor.js bundly), bez tradičního CMS","#EFEAE2, #232323, #333333","Barevná paleta je velmi neutrální/bežová bez výrazného brandového akcentu, jinak jde o kvalitně zpracovaný moderní web",jsmilestomatologie@gmail.com,,,,,,,,,,,,,,,,,
Perioimplants,http://www.perioimplants.cz/,8,Vlastní kód s Bootstrap 4.0.0 (bez CMS),"#2A9D8F, #1F2937, #FFFFFF","Web načítá dvě různé verze jQuery současně (zbytečné zpomalení), jinak jde o kvalitně a moderně navržený web",recepce@collegiumdentalis.cz,,,,,,,,,,,,,,,,,
Janda Přemysl MUDr.,http://www.zubarjanda.cz/,8,"WordPress 7.0.2, Elementor 4.1.2","#A4C639, #1A2B3C, #FFFFFF","V hero sekci zůstává nevyužité prázdné místo (chybí obrázek), jinak jde o moderní a aktuální web",Premysl.Janda@seznam.cz,,,,,,,,,,,,,,,,,
MUDr. Marta Michalová - nepřijímáme nové pacienty,https://www.facebook.com/people/Praktick%C3%BD-zubn%C3%AD-l%C3%A9ka%C5%99-v-Olomouci-MUDr-Marta-Michalov%C3%A1/100066457722093/#utm_source=firmy.cz&utm_medium=ppd&utm_campaign=firmy.cz-379698,8,"HTML5, CSS3, JavaScript (vanilla)",,Absence Schema.org mikroznačkování omezuje detailní porozumění obsahu vyhledávači a zlepšení SEO.,,,,,,,,,,,,,,,,,,
Dentista Zlín - MDDr. Martin Mráz,https://dentistazlin.cz/,8,Neznámá z poskytnutého textu,"#007BFF, #28A745, #F8F9FA",Hlavní slabinou je opakování navigačních prvků a kontaktních informací na několika místech stránky a absence integrovaného online rezervačního systému.,dentistazlin@gmail.com,,,,,,,,,,,,,,,,,
ORTHOZLIN s.r.o.,http://www.ortodonciezlin.cz/,8,Vlastní kód s tabulkovým layoutem (bez CMS),"#2E8B8B, #F2C230, #FFFFFF","Web má pevnou fixní šířku a starý layout s tabulkami, který není responzivní pro mobilní zařízení.",,,,,,,,,,,,,,,,,,
"WistDental, s.r.o.",http://www.wistdental.cz/,8,"Vlastní kód, bez rozpoznatelného CMS (chybí meta charset)","#16A085, #FFFFFF, #2874A6",Web má chybně nastavené kódování znaků - veškerá diakritika se zobrazuje jako pokazené znaky.,,,,,,,,,,,,,,,,,,
Zubní péče MDDr. Jan Lapiš s.r.o.,https://janlapis.cz/,8,WordPress (s blokovým editorem Gutenberg),,"Struktura HTML je nadměrně rozsáhlá a opakuje navigační prvky (např. navigace), což zhoršuje čitelnost a efektivitu kódu bez kontextu CSS.",info@janlapis.cz,,,,,,,,,,,,,,,,,
MUDr. Aleš Polách,http://www.mudrpolach.cz/,8,Nicepage 7.12.8 (website builder),"#2BB8A6, #F5F0DC, #1A1A1A","Dekorativni zaoblene pismo je pouzito i pro bezny text, coz vyrazne snizuje citelnost obsahu.",stomatologieordinace@seznam.cz,,,,,,,,,,,,,,,,,
Zubní Lékař Buršová Milada MUDr.,http://www.dentalni-hygiena-havirov.webnode.cz/,8,Webnode (bezplatna verze s viditelnou reklamou),"#7EC8E3, #6FBE44, #FFFFFF",Nadpis je castecne zakryty fotografii a web bezi na neplacene verzi Webnode s viditelnou reklamou dole.,dhhavirov@seznam.cz,,,,,,,,,,,,,,,,,
Zubní Vodní s.r.o.,https://www.zubnivodni.cz/,8,WordPress,"#3498db, #2ecc71, #333333","Extrémně redundantní a zbytečně složitá HTML struktura s mnoha prázdnými a duplikovanými elementy, což ztěžuje údržbu a pravděpodobně negativně ovlivňuje výkon webu.",ordinace@zubnivodni.cz,,,,,,,,,,,,,,,,,
"Zubní praxe Pivovarská s.r.o. - stomatologie, zubní hygiena, stomatochirurgie České Budějovice",https://www.facebook.com/pg/Zubn%C3%AD-praxe-pivovarsk%C3%A1-280051045981325/about/,8,"HTML5, CSS3, Google Fonts, Font Awesome","#00838F, #34495E, #F8F9FA","The testimonial slider is purely structural HTML, lacking any visible JavaScript integration for dynamic functionality.",,,,,,,,,,,,,,,,,,
DentiSmile,https://www.dentismile.cz/,8,"Nespecifikováno, dodavatelem je Beneficio.",,"Absence transparentního ceníku, přestože je v navigaci zmíněn, může znesnadnit uživatelům porovnání služeb.",info@dentismile.cz,,,,,,,,,,,,,,,,,
Zubní implantáty a stomatologie | MUDr. Pavel Vachulka,https://zubnipececb.cz/,8,WordPress (Gutenberg blocks) a Swiper.js pro karusely,"#2A64B2, #00C1B0, #4A4A4A","Klíčové slabiny zahrnují chybějící atributy 'alt' u několika obrázků, což snižuje přístupnost a SEO, a blogové příspěvky datované do budoucnosti, což snižuje důvěryhodnost obsahu.",dr.vachulka@seznam.cz,,,,,,,,,,,,,,,,,
ROVNÁTKA - ORTODONCIE Smile Art s.r.o.,https://smile-art.cz/,8,"Standard HTML/CSS structure, specific CMS/backend technology unknown","#333333, #007BFF, #FFD700","The page contains a substantial amount of text without sufficient visual elements or breaks, potentially overwhelming users and impacting readability.",ortodoncie@smile-art.cz,,,,,,,,,,,,,,,,,
"Jihočeský vědeckotechnický park, a.s.",https://euc.cz/nase-zarizeni/kliniky/euc-klinika-ceske-budejovice?utm_source=google&utm_medium=moje_firma,8,Custom CMS s komponentovým front-endem (pravděpodobně na bázi Bootstrapu nebo podobného grid systému).,"#0077C8, #FFFFFF, #333333","HTML struktura je příliš komplexní s hlubokým zanořením `div` elementů a nadměrně detailními názvy tříd, což může snižovat čitelnost, udržovatelnost a výkon.",recepce.ceskebudejovice@euc.cz,,,,,,,,,,,,,,,,,
Lacina Radoslav MUDr. - dentální centrum,https://www.google.com/aclk?sa=L&ai=DChsSEwiTqqPn1NaVAxWZc0cBHa8vDd4YACICCAEQBhoCcXU&co=1&ase=2&gclid=Cj0KCQjwguLSBhDLARIsAH-yPrGVO93GcxPF_oPkaPAjDzyGiN1lmUYaIyLT8yvPOdfm7UPb2LyiWkYaAp-TEALw_wcB&cid=CAASuwHkaCBDkIvpKipAWHQqL5ZFljUKCe3X1F2DpjxncWhxSh0YPXyeisgLFUTWFyb-VgU4xh2W2GD6M7HsDgEHenXjebYTkfn5LjBH07HCT592ycPpIu1df4S8OfuWqvZ2RJrE9RY7AJ0crzz6dXARj5S6VX9MK-OMaaZx11dqvyy9KGq2R9Clxo9ZcA_1EVBlKFqwqHsuKNYJzkH10zGaSfzm6Kyio-ch_uYbUBGWqiE8CAW1EcW-jjGKL-Dn&cce=2&category=acrcp_v1_32&sig=AOD64_2Da6tMZOO4ZMo5CVyB4n5IjwhcAw&adurl&q&ctype=99&nis=6,8,"HTML5, CSS3, Bootstrap","#007BFF, #28A745, #343A40","The content includes repetitive text in the 'Jak to probíhá?' section, which diminishes clarity and professionalism.",,,,,,,,,,,,,,,,,,
Stomatologie Praha - DoctorDent.cz,https://doctordent.cz/,8,"WordPress, WPBakery Page Builder","#0A4F8B, #333333, #F8F8F8","The extensive use of WPBakery Page Builder likely results in a bloated HTML structure, potentially affecting page load times and maintainability.",info@doctordent.cz,,,,,,,,,,,,,,,,,
Stomatologická klinika Laila,https://lailaclinic.cz/,8,"HTML5, Bootstrap (framework), jQuery, Swiper.js, AOS, Magnific Popup, Font Awesome","#2196F3, #F8F9FA, #343A40","Největší slabinou je přítomnost zbytkového komentáře z jiné šablony ('Artefact Tattoo Studio') v kódu, což naznačuje nedostatečné vyčištění a pozornost k detailům.",info@lailaclinic.cz,,,,,,,,,,,,,,,,,
ZUBNÍ ORDINACE BHL dent s.r.o.,http://www.bhl-dent.cz/,7,Webnode (website builder),"#0F6E77, #1B7F89, #FFFFFF","Textový obsah působí genericky a AI-vygenerovaně (nadžuívání emoji), což snižuje důvěryhodnost i přes čistý vizuál",info@bhl-dent.cz,,1,DELETE,,676,,bhl-dent.cz,1,,0,,#N/A,#N/A,#N/A,#N/A,,"

"
"MDDr.Jiří Procházka , zubař Olomouc",,7,,,,mddr.prochazka@gmail.com,,56,DELETE,,,,,56,,,,,,,,,
Perdent - MDDr. Vít Pernička,https://www.perdent.cz/,7,WordPress (s největší pravděpodobností s Gutenberg editorem),"#FFFFFF, #333333, #4A90E2","HTML kód je nadměrně rozsáhlý a plný zbytečně vnořených prvků a prázdných divů, což negativně ovlivňuje čistotu kódu, výkon a dostupnost, zejména kvůli chybějícím 'alt' atributům u většiny obrázků.",pernicka@perdent.cz,,3,DELETE,,,,perdent.cz,3,,,,,,,,,
MUDr. Beata Prucková,,7,,,,pruckova@email.cz,,58,DELETE,,,,,58,,,,,,,,,
Gold Dent S.r.o.,,7,,,,,,59,DELETE,,,,,59,,,,,,,,,
MUDr. Lucie Míčková,http://detskazubniordinace.cz/,7,"WordPress 7.0.2, Elementor 3.27.6","#2E7A8C, #1C2B39, #FFFFFF",Obsah i design jsou zřejmě převzaté z jiného webu stejné skupiny (PD Dent) - působí jako duplicitní šablona bez vlastní identity,,,6,DELETE,,,,detskazubniordinace.cz,6,,,,,,,,,
Zubní Lékař Nováková Monika MUDr.,,7,,,,,,61,DELETE,,,,,61,,,,,,,,,
MUDr. Jaroslava Hajdová,,7,,,,,,62,DELETE,,,,,62,,,,,,,,,
Centrum Úsměvu,,7,,,,,,63,DELETE,,,,,63,,,,,,,,,
Prokeš Tomáš MUDr.,http://www.zubni-olomouc.cz/,7,"Statické HTML bez CMS, jQuery; patička uvádí rok 2014","#1B4B72, #8DC63F, #1E7FA3","Design i obsah působí zastarale (patička uvádí rok 2014), chybí ordinační hodiny a modernější vizuální prvky.",,,10,DELETE,,,,zubni-olomouc.cz,10,,,,,,,,,
FN Olomouc - Klinika zubního lékařství,https://zubni.fnol.cz/,7,esmedia composer app,"#004085, #495057, #F8F9FA","The extensive and nested use of generic `div` elements for layout, combined with a high volume of information, suggests a risk of visual clutter and a complex user interface that could detract from user experience.",info@fnol.cz,,11,DELETE,,,,zubni.fnol.cz,11,,,,,,,,,
MUDr. Ondřej Procházka,https://www.firmy.cz/detail/382421-mudr-ondrej-prochazka-olomouc-nova-ulice.html?l=1,7,Platforma Firmy.cz (Seznam.cz),"#0066CC, #FFFFFF, #F0F0F0",Absence vlastního moderního webu a závislost na zastaralé a neaktualizované vizitce v katalogu Firmy.cz.,dr.prochazka.ondrej@seznam.cz,,12,DELETE,,,,firmy.cz/detail/382421-mudr-ondrej-prochazka-olomouc-nova-ulice.html?l=1,12,,,,,,,,,
Kaczmarczyk S.r.o.,,7,,,,,,67,DELETE,,,,,67,,,,,,,,,
Smělá Jana MUDr.,,7,,,,,,68,DELETE,,,,,68,,,,,,,,,
Zubní ordinace Olomouc,,7,,,,,,69,DELETE,,,,,69,,,,,,,,,
MUDr. Petr Němec,,7,,,,,,70,DELETE,,,,,70,,,,,,,,,
MUDr. Břetislav Šmíd,http://www.cerebrum.cz/,7,"Vlastní kód, žádný rozpoznatelný CMS (statické stránky)","#1F5C4A, #111111, #FFFFFF","Web oznamuje úmrtí lékaře a nejasnou budoucnost péče o pacienty, což silně snižuje důvěryhodnost a aktuálnost obsahu.",dagmar.smidova@cerebrum.cz,,17,DELETE,,,,cerebrum.cz,17,,,,,,,,,
Stomatologie Hanos S.r.o.,,7,,,,,,72,DELETE,,,,,72,,,,,,,,,
Mudr. Lenka Vyroubalová,,7,,,,,,73,DELETE,,,,,73,,,,,,,,,
dentální hygiena olomouc,,7,,,,,,74,DELETE,,,,,74,,,,,,,,,
Zubař Olomouc,,7,,,,,,75,DELETE,,,,,75,,,,,,,,,
Moravová Jitka MUDr.,,7,,,,,,76,DELETE,,,,,76,,,,,,,,,
Zubní Lékař Sheety Joseph MUDr.,,7,,,,,,77,DELETE,,,,,77,,,,,,,,,
Zubní Lékař Pospíšil Pavel MUDr.,,7,,,,,,78,DELETE,,,,,78,,,,,,,,,
MUDr. Hana Svačinová,,7,,,,,,79,DELETE,,,,,79,,,,,,,,,
Zubní Lékař Loydová Marie MUDr.,,7,,,,,,80,DELETE,,,,,80,,,,,,,,,
MUDr. Miroslav Kuča,,7,,,,,,81,DELETE,,,,,81,,,,,,,,,
SOFRONIESKI MS s.r.o,,7,,,,,,82,DELETE,,,,,82,,,,,,,,,
MUDr. Miluše Veselovská,,7,,,,,,83,DELETE,,,,,83,,,,,,,,,
Medivize S.r.o.,,7,,,,,,84,DELETE,,,,,84,,,,,,,,,
MDDr. Pavel Hubáček praktické zubní lékařství Dental Cura s.r.o.,,7,,,,,,85,DELETE,,,,,85,,,,,,,,,
MUDr. Jiří Grmela,,7,,,,,,86,DELETE,,,,,86,,,,,,,,,
MUDr. Pavla Bradáčová,,7,,,,,,87,DELETE,,,,,87,,,,,,,,,
Tmějová Lamis MUDr.,,7,,,,,,88,DELETE,,,,,88,,,,,,,,,
Zedník Petr MUDr.,,7,,,,,,89,DELETE,,,,,89,,,,,,,,,
MUDr. Zdeněk Fritsch,,7,,,,,,90,DELETE,,,,,90,,,,,,,,,
MUDr. Miroslava Poncová,,7,,,,,,91,DELETE,,,,,91,,,,,,,,,
MUDr. Pavel Bílý,,7,,,,,,92,DELETE,,,,,92,,,,,,,,,
Curativa.stom s.r.o.,,7,,,,,,93,DELETE,,,,,93,,,,,,,,,
MDDr. Jana Spáčilová,,7,,,,,,94,DELETE,,,,,94,,,,,,,,,
MUDr. Tomáš Kameníček - stoma s.r.o.,,7,,,,,,95,DELETE,,,,,95,,,,,,,,,
Dostál Bohumil MUDr.,,7,,,,,,96,DELETE,,,,,96,,,,,,,,,
Zubař v Olomouci,,7,,,,,,97,DELETE,,,,,97,,,,,,,,,
Procházka Vladimír MUDr.,,7,,,,,,98,DELETE,,,,,98,,,,,,,,,
Zubní technik,,7,,,,,,99,DELETE,,,,,99,,,,,,,,,
Dentmed S.r.o.,,7,,,,,,100,DELETE,,,,,100,,,,,,,,,
Centrum Úsměvu S.r.o.,,7,,,,,,101,DELETE,,,,,101,,,,,,,,,
Hornová Alena MUDr.,,7,,,,,,102,DELETE,,,,,102,,,,,,,,,
MDDr. Marcel Mitruk,https://www.idczlin.cz/,7,"WordPress, Elementor, Splide.js (pro carousel), cookie consent řešení (pravděpodobně plugin)",,"HTML kód je nadměrně rozsáhlý a hluboce zanořený kvůli generování Elementorem, což může snižovat výkon a čitelnost.",,,49,DELETE,,,,idczlin.cz,49,,,,,,,,,
"DI DENT s.r.o., zubní ordinace MDDr. Dalibor Maňas",,7,,,,,,104,DELETE,,,,,104,,,,,,,,,
Mident s.r.o. MUDr. Hečko Michal - zubní lékař,,7,,,,,,105,DELETE,,,,,105,,,,,,,,,
MUDr. Petr Čapka,,7,,,,,,106,DELETE,,,,,106,,,,,,,,,
MUDr. Eva Adamíková,,7,,,,,,107,DELETE,,,,,107,,,,,,,,,
MUDr. Magda Hřebačková - zubní ordinace,,7,,,,,,108,DELETE,,,,,108,,,,,,,,,
Dentavia s.r.o.,,7,,,,,,109,DELETE,,,,,109,,,,,,,,,
MUDr. Blanka Šmejdovcová s.r.o.,,7,,,,,,110,DELETE,,,,,110,,,,,,,,,
Mudr. Taťána Sochová,,7,,,,,,111,DELETE,,,,,111,,,,,,,,,
Smolka Pavel MUDr.,,7,,,,,,112,DELETE,,,,,112,,,,,,,,,
Preclík Michal MUDr.,,7,,,,,,113,DELETE,,,,,113,,,,,,,,,
Novotná Magda MUDr.,,7,,,,,,114,DELETE,,,,,114,,,,,,,,,
Soukromá stomatologická ordinace,,7,,,,,,115,DELETE,,,,,115,,,,,,,,,
MUDr. Hana Kousalová,,7,,,,,,116,DELETE,,,,,116,,,,,,,,,
Miklášová Dana MUDr.,,7,,,,,,117,DELETE,,,,,117,,,,,,,,,
Estetická Stomatologie,,7,,,,,,118,DELETE,,,,,118,,,,,,,,,
MUDr. Helena Škubalová,,7,,,,,,119,DELETE,,,,,119,,,,,,,,,
Lebeda Jiří MUDr.,,7,,,,,,120,DELETE,,,,,120,,,,,,,,,
Biancodent,https://www.biancodent.cz/,7,"WordPress (s využitím WPBakery Page Builder, dle třídy wpb_wrapper)","#FFFFFF, #2196F3, #4CAF50","HTML kód je velmi verbose, obsahuje mnoho generických a prázdných divů, což svědčí o neefektivním použití page builderu a snižuje sémantiku stránky.",info@biancodent.cz,,67,DELETE,,,,biancodent.cz,67,,,,,,,,,
MUDr. Markéta Urbanová,,7,,,,,,122,DELETE,,,,,122,,,,,,,,,
Stomatologie Zlín S.r.o.,,7,,,,,,123,DELETE,,,,,123,,,,,,,,,
MDDr. Ladislav Hlavica - Dentap s.r.o.,,7,,,,,,124,DELETE,,,,,124,,,,,,,,,
Stomatologická ordinace,,7,,,,,,125,DELETE,,,,,125,,,,,,,,,
